PLANT,PLANT NAME,Company,StateOffice,RegionalOffice,TANKAGE,STOCK,TOTAL_STOCK,DAYS_COVER,DAY_BOTTLING,CUMM_BOTTLING,Bottling-Rated capacity(TMTPA)
7B07,LPG BP - KIMIN,BPC,IndianOil AOD,EastRegion,99,43,145,5,40,186,437
7B08,LPG BP - SEKMAI,BPC,IndianOil AOD,EastRegion,0,139,230,2,118,686,437
7B09,LPG BP  Mualkhang,BPC,IndianOil AOD,EastRegion,99,27,159,4,56,255,437
7B12,LPG BP-LAKWA DESPATCH UNIT,BPC,IndianOil AOD,EastRegion,0,0,0,0,0,0,437
7B14,LPG BP -Bodhjungnagar,BPC,IndianOil AOD,EastRegion,0,0,0,0,0,0,437
7B15,LPG BP-Umiam,BPC,IndianOil AOD,EastRegion,0,0,0,0,0,0,437
9666,LPG BP-,BPC,Regional Office - Northern Reg,NorthRegion,0,0,0,0,0,0,437
9671,LPG BP-North Guwahati,BPC,AOD (Marketing) HQ,NorthRegion,0,0,0,0,0,0,437
9672,LPG BP-Silchar,BPC,AOD (Marketing) HQ,NorthRegion,0,0,0,0,0,0,437
9673,LPG BP-GOPANARI BP,BPC,AOD (Marketing) HQ,NorthRegion,0,0,0,0,0,0,437
9676,LPG BP-DIMAPUR BP,BPC,AOD (Marketing) HQ,NorthRegion,0,0,0,0,0,0,437
9677,LPG BP- KIMIN,BPC,AOD (Marketing) HQ,NorthRegion,0,0,0,0,0,0,437
9678,LPG BP- - Sekmai,BPC,AOD (Marketing) HQ,NorthRegion,0,0,0,0,0,0,437
9679,LPG BP- Mualkhang BP,BPC,AOD (Marketing) HQ,NorthRegion,0,0,0,0,0,0,437
9681,LPG BP-DIGBOI DESPATCH UNIT,BPC,Regional Office - Northern Reg,NorthRegion,0,0,0,0,0,0,437
L121,LPG Automation JAMMU -H,BPC,Punjab  HP and J&K SO,NorthRegion,0,0,0,0,0,0,515
L122,LPG Automation JAMMU-H (FF),BPC,Punjab  HP and J&K SO,NorthRegion,0,0,0,0,0,0,515
L123,Automation GGSR-BHATINDA,BPC,Punjab  HP and J&K SO,NorthRegion,0,0,0,0,0,0,515
L124,Automation LALRU DEPOT,BPC,Punjab  HP and J&K SO,NorthRegion,0,0,0,0,0,0,515
L131,LPG Automation - Ajmer-B,BPC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
L132,LPG Automation - JAIPUR B,BPC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
L133,LPG Automation - BIKANER-B,BPC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
L134,LPG Automation - AJMER-H,HPC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
L135,LPG Automation - JAIPUR - H,HPC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
L136,Automation BAGRU TOP,HPC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
L137,Automation SARADHANA TOP,HPC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
L141,LPG Automation -LUCKNOW-B,HPC,UP SO,NorthRegion,0,0,0,0,0,0,671
L151,LPG Automation -LONI  B,HPC,UPSO - II,NorthRegion,0,0,0,0,0,0,810
L211,LPG Automation - ULUBERIA-II,HPC,West Bengal SO,EastRegion,0,0,0,0,0,0,682
L212,LPG Automation - DURGAPUR-B,HPC,West Bengal SO,EastRegion,0,0,0,0,0,0,682
L231,LPG Automation - PATNA-B,HPC,Bihar SO,EastRegion,0,0,0,0,0,0,540
L232,LPG Automation - PATNA-H,HPC,Bihar SO,EastRegion,0,0,0,0,0,0,540
L233,Automation - BIHTA,HPC,Bihar SO,EastRegion,0,0,0,0,0,0,540
L321,LPG Automation - NASIK B,HPC,Maharashtra State Office,WestRegion,0,0,0,0,0,0,180
L322,LPG Automation - NASIK-H,HPC,Maharashtra State Office,WestRegion,0,0,0,0,0,0,180
L331,LPG Automation -JABALPUR,HPC,MP SO,WestRegion,0,0,0,0,0,0,480
L332,LPG Automation-JABALPUR - I,HPC,MP SO,WestRegion,0,0,0,0,0,0,480
L333,LPG Automation - Mangalia,HPC,MP SO,WestRegion,0,0,0,0,0,0,480
L336,LPG Automation - Raipur BPC,HPC,MP SO,WestRegion,0,0,0,0,0,0,480
L415,LPG Automation -MADURAI-H,HPC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
L421,LPG Automation - BANGALORE-H,HPC,Kerala SO,WestRegion,0,0,0,0,0,0,420
L440,LPG Automation - ENNORE-II,HPC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
L441,LPG Automation - COIMBATORE-II,HPC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
1196,OMC (BPC)LPG Hosp.Locn-Hissar,HPC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
1198,OMC (HPC)LPG Hosp.Locn-Asaudha,HPC,Delhi & Haryana SO,NorthRegion,0,0,0,0,0,0,720
1295,OMC(BPC)LPG Hosp Locn-Bathinda,HPC,Delhi & Haryana SO,NorthRegion,0,0,0,0,0,0,720
1296,OMC-BPC-LPG Hosp Locn-Lalru,HPC,Delhi & Haryana SO,NorthRegion,0,0,0,0,0,0,720
1390,OMC (HPC)LPG Hosp.Locn-Jodhpur,HPC,Delhi & Haryana SO,NorthRegion,0,0,0,0,0,0,720
1391,OMC-BPC-LPG Hosp Locn-Udaipur,HPC,Delhi & Haryana SO,NorthRegion,0,0,35,2,18,144,720
1392,OMC-HPC-LPG Hosp Locn-Kota,HPC,Delhi & Haryana SO,NorthRegion,0,0,0,0,0,0,720
1493,OMC-HPC-LPG Hosp Locn- Gorakhp,HPC,Delhi & Haryana SO,NorthRegion,0,0,86,7,16,86,720
